params.model_name,metrics.train_loss,metrics.train_acc,metrics.val_loss,metrics.val_acc
mobilenet,0.01874581351876259,0.9947487115859985,0.029401902109384537,0.9894894957542419
resnet18,0.030505839735269547,0.9902475476264954,0.04950432479381561,0.9834834933280945
resnet34,0.04748902469873428,0.9872468113899231,0.06516968458890915,0.9819819927215576
